parset,parset_name,sens_type,sens_value,REGION6,subpop,peak_prevalence,time_to_peak,final_attack_rate,time_to_est,epidemic_duration
16,gamma_0.3333,gamma,0.3333333333333333,3,C,0.004424899096609549,67,0.11666236136325027,13,111
16,gamma_0.3333,gamma,0.3333333333333333,4,A,0.013612004888035033,45,0.242685762719336,3,105
16,gamma_0.3333,gamma,0.3333333333333333,4,C,0.007365683017937648,58,0.15031762730485063,9,102
16,gamma_0.3333,gamma,0.3333333333333333,5,A,0.017101953876088306,40,0.27190065605914254,3,103
16,gamma_0.3333,gamma,0.3333333333333333,5,C,0.0066700940132861835,58,0.14035027314129322,10,102
16,gamma_0.3333,gamma,0.3333333333333333,6,A,0.024285135316914536,35,0.30742429626758344,2,88
16,gamma_0.3333,gamma,0.3333333333333333,6,C,0.011407364602207853,49,0.18145109835707798,6,91
17,gamma_0.1,gamma,0.1,1,A,0.014526477810663182,137,0.24586378969906672,8,357
17,gamma_0.1,gamma,0.1,1,C,0.004876256745458214,216,0.10958784897368246,38,327
17,gamma_0.1,gamma,0.1,2,A,0.014649543094191673,135,0.24546904037393102,8,357
17,gamma_0.1,gamma,0.1,2,C,0.004525201731321114,218,0.10341572737568742,41,324
17,gamma_0.1,gamma,0.1,3,A,0.008991058837295628,171,0.1900893968157,13,352
17,gamma_0.1,gamma,0.1,3,C,0.004424970981945094,223,0.10205847563845268,41,324
17,gamma_0.1,gamma,0.1,4,A,0.013612027424494605,150,0.23728255545320714,10,351
17,gamma_0.1,gamma,0.1,4,C,0.007365698148228723,193,0.14376845935867785,28,337
17,gamma_0.1,gamma,0.1,5,A,0.017104994379439093,132,0.2667322852713263,8,347
17,gamma_0.1,gamma,0.1,5,C,0.006670676616524248,194,0.13310138050077605,31,334
17,gamma_0.1,gamma,0.1,6,A,0.024286704781148912,116,0.3063037054144851,7,294
17,gamma_0.1,gamma,0.1,6,C,0.011407971542074333,163,0.17960509470848857,20,304
18,seed_1,seed,1,1,A,0.014526069758054833,68,0.25559541538498337,4,189
