GEOID,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,peak_prevalence_ratio,attack_rate_ratio,time_to_peak_diff
04001,4,0.11762131013008764,0.09908016711387244,0.7450718891137798,0.6661411031062975,38,42,1.1871327386328077,1.118489589727189,-4
04003,4,0.07907179299828881,0.0614041470595016,0.6728162366860466,0.5613802816576207,48,55,1.2877272429444706,1.198503507639033,-7
04005,4,0.09204041143561606,0.07451667404519216,0.6991885597759043,0.6036752175703887,44,50,1.2351653185674427,1.1582197503318559,-6
04007,4,0.08454483096114393,0.06611844940328993,0.6834275504899545,0.5744863389705387,46,53,1.2786874423727357,1.189632379622177,-7
04009,4,0.10348753091346193,0.08805452120357095,0.7216791973131107,0.646528103160856,42,46,1.1752665223652947,1.1162379388998611,-4
04011,4,0.09227801826883748,0.07531536310749384,0.6999576847192489,0.6074407764952281,45,50,1.2252217138903478,1.152306054851666,-5
04012,4,0.0955231315677368,0.07439485607548346,0.700340847781073,0.5901145705005766,43,48,1.2840018330140446,1.1867879269393309,-5
04013,4,0.08865880922126453,0.07230732380114449,0.6938450049508177,0.6011092631321969,46,51,1.2261387168067368,1.1542743516135539,-5
04015,4,0.0724812737157557,0.05463691522566668,0.6576515273407489,0.5360482444058748,50,59,1.3265989380327663,1.2268513780315655,-9
04017,4,0.1071373492752844,0.09001820926896621,0.726997221511994,0.6469298155071623,41,45,1.1901741897038605,1.123765212370159,-4
04019,4,0.08032953561649182,0.063075518717752,0.6770222425213773,0.5695807491099666,48,55,1.2735453825746161,1.188632592620625,-7
04021,4,0.09425788467011324,0.07860484076691017,0.7032652685232078,0.6194783208643058,44,49,1.1991358770081302,1.1352540433408569,-5
04023,4,0.09663638913323616,0.08063651515779481,0.7089259913387536,0.6256156389129129,44,48,1.1984197102780514,1.1331653930048855,-4
04025,4,0.06861509295323846,0.05087028996938882,0.6487830789196266,0.5216141698014817,52,61,1.348824490572544,1.243798800877176,-9
04027,4,0.10388146189612106,0.08678714978879294,0.719651237516857,0.6371880441781872,42,46,1.1969682395254275,1.1294173581756806,-4
05001,2,0.08927090635792878,0.05832959719782644,0.7146267277193215,0.5396231826877621,44,55,1.530456417437001,1.3243069435228847,-11
05003,2,0.08623745548118181,0.05407441870838672,0.7097997020227222,0.5226697009866664,45,57,1.5947920946916574,1.358027260204298,-12
05005,2,0.08087693775476673,0.04968421539344957,0.70637652677107,0.5147780922360953,46,61,1.627819562295627,1.3721961703978283,-15
05007,2,0.09862100201955588,0.07336894149514382,0.7377897908924608,0.6059204899293329,43,51,1.3441791582352793,1.2176346618984737,-8
05009,2,0.08713406610079515,0.05947861497183377,0.7181993796559976,0.5568992214449809,45,57,1.4649646119375455,1.2896397624555709,-12
05011,2,0.09641907477069428,0.06477523800850025,0.7299400596952154,0.562489017017273,42,53,1.4885174911752774,1.2976965551538941,-11
05013,2,0.0902115805583623,0.06314771827919163,0.721569969926533,0.568471133905568,45,55,1.4285802087023107,1.269316816439086,-10
05015,2,0.10146141328270958,0.07307609125917144,0.7371683480821174,0.5936082929061798,42,50,1.388435143894969,1.2418430754615946,-8
05017,2,0.09465415814419707,0.062512571880364,0.7267944488731098,0.5543576155385793,43,54,1.5141619564996516,1.311057029796554,-11
05019,2,0.08845508964899285,0.05893693260814907,0.7184885241414282,0.5495611959212845,44,56,1.5008431171180832,1.307385837053058,-12
05021,2,0.08818784075705981,0.05769610418377317,0.7122506096508578,0.5375307816373691,45,56,1.5284886562906328,1.3250415306101648,-11
05023,2,0.0863057770651293,0.05724253421638381,0.7170788171041205,0.5469237999043283,45,58,1.5077211071557886,1.3111128410019035,-13
05025,2,0.08542476951623815,0.05626538942339129,0.709617951933525,0.5375015347806972,46,57,1.5182471923090322,1.3202156757060275,-11
05027,2,0.09463003748640714,0.06553296462508629,0.7318443672939942,0.5750261644727112,43,53,1.4440066618042544,1.272714899790834,-10
05029,2,0.08968297858909001,0.06136133270354168,0.7181796464837484,0.5575514662570961,45,55,1.4615552602545356,1.288095700482983,-10
05031,2,0.09140732586009365,0.06453456230080969,0.7255267445319449,0.5753537744680199,44,54,1.4164088606353933,1.2610097938486229,-10
05033,2,0.0973495188938681,0.07092615273727416,0.7353232768004231,0.595909647118346,43,52,1.3725475742984652,1.2339509527262107,-9
05035,2,0.0912712424315514,0.06328274182833557,0.7250673948060161,0.5688465349630532,44,55,1.4422769904492927,1.2746274262760686,-11
05037,2,0.10714456982174556,0.07987705583452878,0.7476183575758396,0.6165052607498004,41,48,1.341368540719671,1.2126714971849195,-7
